gene_name,annotation
ADAM10,specific granule membrane
ADAM10,cytosol
ADAM10,recycling endosome membrane
ADAM10,plasma membrane
ADAM10,tertiary granule membrane
ADAM10,extracellular region
ADAM10,nucleoplasm
ADAM2,plasma membrane
ADAM2,extracellular region
ADAM22,plasma membrane
ADAM22,extracellular region
ADAMTS12,endoplasmic reticulum lumen
ADAMTS17,endoplasmic reticulum lumen
ADAMTS18,extracellular region
ADAMTS18,endoplasmic reticulum lumen
ADAMTS19,endoplasmic reticulum lumen
ADAMTS20,endoplasmic reticulum lumen
ADAMTS3,extracellular region
ADAMTS3,endoplasmic reticulum lumen
ADAMTS5,endoplasmic reticulum lumen
ADAMTS5,extracellular region
ADAMTS6,endoplasmic reticulum lumen
ADAMTS9,extracellular region
ADAMTS9,endoplasmic reticulum lumen
ADAMTSL3,endoplasmic reticulum lumen
ADCY1,plasma membrane
ADCY1,cytosol
ADCY2,plasma membrane
ADCY3,plasma membrane
ADCY3,nucleoplasm
ADCY5,plasma membrane
ADCY8,plasma membrane
ADCY8,cytosol
ADD2,cytosol
ADD3,plasma membrane
ADD3,cytosol
ADGRG6,plasma membrane
ADGRG6,endoplasmic reticulum membrane
ADGRG6,nucleoplasm
ADGRV1,plasma membrane
ADH1B,cytosol
ADHFE1,mitochondrial matrix
ADIPOQ,plasma membrane
ADIPOQ,extracellular region
ADIPOQ,nucleoplasm
ADRA1A,plasma membrane
ADRA1A,extracellular region
ADRA1B,plasma membrane
ADRB3,plasma membrane
ADRB3,extracellular region
AFDN,cytosol
AFF3,plasma membrane
AFF4,nucleoplasm
AFM,plasma membrane
AFM,endoplasmic reticulum membrane
AFM,cytosol
AFMID,cytosol
AGBL2,cytosol
AGBL5,cytosol
AGGF1,cytosol
AGO1,nuclear envelope
AGO1,cytosol
AGO1,nucleoplasm
AGO2,nuclear envelope
AGO2,cytosol
AGO2,nucleoplasm
AGO4,nuclear envelope
AGO4,nucleoplasm
AGO4,cytosol
AGTR2,plasma membrane
AGTR2,extracellular region
AHCTF1,nuclear envelope
AHCTF1,cytosol
AHCYL2,plasma membrane
AHCYL2,extracellular region
AHCYL2,cytosol
AHI1,cytosol
AHNAK,plasma membrane
AHNAK,nucleoplasm
AJUBA,nucleoplasm
AJUBA,cytosol
AK8,cytosol
AKAP13,plasma membrane
AKAP13,cytosol
AKAP8,nucleoplasm
AKAP9,plasma membrane
AKAP9,extracellular region
AKAP9,cytosol
AKR1B10,cytosol
AKR1C2,cytosol
AKR1D1,endoplasmic reticulum membrane
AKR1D1,cytosol
AKT1,lysosomal membrane
AKT1,cytoplasmic vesicle membrane
AKT1,nucleoplasm
AKT1,plasma membrane
AKT1,nuclear envelope
AKT1,extracellular region
AKT1,cytosol
AKT2,plasma membrane
AKT2,cytosol
AKT2,cytoplasmic vesicle membrane
AKT2,nucleoplasm
AKT3,plasma membrane
AKT3,cytosol
AKT3,nucleoplasm
ALB,plasma membrane
ALB,platelet alpha granule lumen
ALB,endoplasmic reticulum lumen
ALB,extracellular region
ALB,cytosol
ALDH1L2,mitochondrial matrix
ALDH1L2,cytosol
ALDH2,mitochondrial matrix
ALDH2,nucleoplasm
ALDH5A1,mitochondrial matrix
ALDOA,platelet alpha granule lumen
ALDOA,tertiary granule lumen
ALDOA,ficolin-1-rich granule lumen
ALDOA,secretory granule lumen
ALDOA,extracellular region
ALDOA,cytosol
ALK,endoplasmic reticulum lumen
ALK,endoplasmic reticulum membrane
ALK,plasma membrane
ALK,phagolysosome
ALK,cytosol
ALK,extracellular region
ALK,nucleoplasm
ALMS1,cytosol
ALOX12,cytosol
ALOX12B,cytosol
ALPK1,cytosol
ALS2CL,early endosome membrane
ALS2CL,cytosol
ALYREF,nucleoplasm
ALYREF,cytosol
AMER1,nucleoplasm
AMER1,cytosol
AMOT,plasma membrane
AMOT,cytosol
AMOTL1,cytosol
AMPH,plasma membrane
AMPH,cytosol
AMY2B,extracellular region
ANG,Golgi membrane
ANG,cytosol
ANG,cytoplasmic vesicle membrane
ANG,plasma membrane
ANG,extracellular region
ANG,nucleoplasm
ANGPT1,plasma membrane
ANGPT1,extracellular region
ANK1,cytosol
ANK2,cytosol
ANK3,cytosol
ANKLE2,nuclear envelope
ANKLE2,plasma membrane
ANKLE2,chromosome
ANKLE2,endoplasmic reticulum membrane
ANKLE2,cytosol
ANKRD26,plasma membrane
ANKRD26,cytosol
ANLN,plasma membrane
ANLN,cytosol
ANO4,plasma membrane
ANPEP,plasma membrane
ANPEP,secretory granule membrane
ANPEP,extracellular region
ANXA2,plasma membrane
ANXA2,external side of plasma membrane
ANXA2,azurophil granule lumen
ANXA2,nucleoplasm
ANXA2,extracellular region
ANXA2,cytosol
AOX1,cytosol
AP1B1,Golgi membrane
AP1B1,lysosomal membrane
AP1B1,trans-Golgi network membrane
AP1B1,cytoplasmic vesicle membrane
AP1B1,cytosol
AP1S1,Golgi membrane
AP1S1,lysosomal membrane
AP1S1,trans-Golgi network membrane
AP1S1,cytoplasmic vesicle membrane
AP1S1,cytosol
AP2A1,plasma membrane
AP2A1,endocytic vesicle membrane
AP2A1,endolysosome membrane
AP2A1,clathrin-coated endocytic vesicle membrane
AP2A1,cytosol
APC,"chromosome, centromeric region"
APC,lysosomal membrane
APC,plasma membrane
APC,lysosomal lumen
APC,Golgi membrane
APC,cytosol
APC,late endosome lumen
APC,extracellular region
APC,nucleoplasm
APH1A,plasma membrane
APH1A,early endosome
APH1A,endosome membrane
APLNR,plasma membrane
APOB,lysosomal lumen
APOB,endoplasmic reticulum lumen
APOB,endocytic vesicle lumen
APOB,endoplasmic reticulum membrane
APOB,nucleoplasm
APOB,smooth endoplasmic reticulum
APOB,endosome membrane
APOB,plasma membrane
APOB,early endosome
APOB,extracellular region
APOB,endosome lumen
APOB,clathrin-coated endocytic vesicle membrane
APOB,cytosol
APOBEC2,nucleoplasm
APOBEC3B,cytosol
APOBEC3B,nucleoplasm
APOBR,plasma membrane
APOBR,extracellular region
AQP12A,plasma membrane
AQP7,plasma membrane
AQP7,transport vesicle membrane
AQP7,nucleoplasm
AQP7,extracellular region
AQP7,cytosol
AR,endoplasmic reticulum lumen
AR,mitochondrial matrix
AR,mitochondrial inner membrane
AR,lysosomal membrane
AR,melanosome membrane
AR,mitochondrial outer membrane
AR,secretory granule membrane
AR,early endosome membrane
AR,melanosome lumen
AR,Golgi-associated vesicle membrane
AR,endoplasmic reticulum membrane
AR,sarcoplasmic reticulum membrane
AR,early endosome lumen
AR,mitochondrial intermembrane space
AR,transport vesicle membrane
AR,Golgi lumen
AR,cytoplasmic vesicle membrane
AR,plasma membrane
AR,cilium
AR,extracellular region
AR,lysosomal lumen
AR,Golgi membrane
AR,peptidoglycan-based cell wall
AR,endoplasmic reticulum-Golgi intermediate compartment membrane
AR,phagolysosome
AR,cytosol
AR,photoreceptor disc membrane
AR,photoreceptor inner segment membrane
AR,sarcoplasmic reticulum lumen
AR,nuclear envelope
AR,endocytic vesicle membrane
AR,ciliary membrane
AR,phagocytic vesicle membrane
AR,clathrin-coated endocytic vesicle membrane
AR,nucleoplasm
ARAF,plasma membrane
ARAF,cytosol
AREG,ER to Golgi transport vesicle membrane
AREG,endoplasmic reticulum-Golgi intermediate compartment membrane
AREG,endoplasmic reticulum membrane
AREG,nucleoplasm
AREG,extracellular region
AREG,clathrin-coated endocytic vesicle membrane
ARFRP1,trans-Golgi network membrane
ARFRP1,cytosol
ARHGAP26,plasma membrane
ARHGAP26,cytosol
ARHGAP28,plasma membrane
ARHGAP28,cytosol
ARHGAP32,plasma membrane
ARHGAP32,extracellular region
ARHGAP32,cytosol
ARHGAP35,plasma membrane
ARHGAP35,cytosol
ARHGAP4,plasma membrane
ARHGAP4,cytosol
ARHGAP5,plasma membrane
ARHGAP5,cytosol
ARHGEF10,plasma membrane
ARHGEF10,cytosol
ARHGEF10L,plasma membrane
ARHGEF10L,cytosol
ARHGEF11,plasma membrane
ARHGEF11,cytosol
ARHGEF12,plasma membrane
ARHGEF12,cytosol
ARHGEF18,plasma membrane
ARHGEF18,cell junction
ARHGEF18,cytosol
ARHGEF25,plasma membrane
ARHGEF25,cytosol
ARHGEF28,plasma membrane
ARHGEF28,cytosol
ARHGEF3,plasma membrane
ARHGEF3,cytosol
ARHGEF6,plasma membrane
ARHGEF6,cytosol
ARID1A,nucleoplasm
ARID1B,nucleoplasm
ARID2,nucleoplasm
ARID3A,nucleoplasm
ARID4A,nucleoplasm
ARID4B,nucleoplasm
ARID5B,nucleoplasm
ARIH1,cytosol
ARMCX3,mitochondrial outer membrane
ARMCX3,plasma membrane
ARMCX3,cytosol
ARNT,endoplasmic reticulum lumen
ARNT,endoplasmic reticulum membrane
ARNT,nucleoplasm
ARNT,cytosol
ARNT2,endoplasmic reticulum lumen
ARNT2,nucleoplasm
ARNT2,cytosol
ARNTL,cytosol
ARNTL,endoplasmic reticulum lumen
ARNTL,extracellular region
ARNTL,nucleoplasm
ARPC1B,cytosol
ARSD,endoplasmic reticulum lumen
ASB15,cytosol
ASB9,cytosol
ASCC2,nucleoplasm
ASCC3,nucleoplasm
ASH1L,nucleoplasm
ASL,extracellular region
ASL,cytosol
ASPSCR1,cytoplasmic vesicle membrane
ASXL1,nucleoplasm
ASXL2,nucleoplasm
ASZ1,cytosol
ATAD2,nucleoplasm
ATAD3B,plasma membrane
ATAD3B,secretory granule membrane
ATAD3B,ficolin-1-rich granule membrane
ATF1,nucleoplasm
ATF7IP,nucleoplasm
ATG13,cytosol
ATG13,lysosomal membrane
ATG13,endoplasmic reticulum membrane
ATG13,endosome membrane
ATG14,phagophore assembly site membrane
ATG14,endoplasmic reticulum membrane
ATG14,cytosol
ATG3,phagophore assembly site membrane
ATG3,cytosol
ATG4B,phagophore assembly site membrane
ATG4B,cytosol
ATG5,phagophore assembly site membrane
ATG5,double membrane vesicle viral factory outer membrane
ATG5,endoplasmic reticulum membrane
ATG5,phagocytic vesicle
ATG5,mitochondrial outer membrane
ATG5,phagocytic vesicle membrane
ATG5,cytosol
ATG7,ficolin-1-rich granule lumen
ATG7,secretory granule lumen
ATG7,extracellular region
ATG7,cytosol
ATIC,plasma membrane
ATIC,endoplasmic reticulum membrane
ATIC,cytosol
ATM,mitochondrial matrix
ATM,peroxisomal matrix
ATM,cytosol
ATM,nuclear envelope
ATM,peroxisomal membrane
ATM,plasma membrane
ATM,extracellular region
ATM,nucleoplasm
ATP10A,plasma membrane
ATP10B,plasma membrane
ATP10D,plasma membrane
ATP13A4,plasma membrane
ATP13A4,extracellular region
ATP13A4,cytosol
ATP1A1,plasma membrane
ATP1A1,extracellular region
ATP2A2,platelet dense tubular network membrane
ATP2A2,endoplasmic reticulum membrane
ATP2A2,sarcoplasmic reticulum membrane
ATP2A2,cytosol
ATP2B3,plasma membrane
ATP2C2,Golgi membrane
ATP4A,plasma membrane
ATP4A,extracellular region
ATP4A,cytosol
ATP5F1B,mitochondrial inner membrane
ATP5F1B,nucleoplasm
ATP5F1B,mitochondrial matrix
ATP5F1B,mitochondrial intermembrane space
ATP5F1B,cytosol
ATP5PD,mitochondrial inner membrane
ATP6AP1,plasma membrane
ATP6AP1,endosome membrane
ATP6AP1,early endosome membrane
ATP6AP1,endoplasmic reticulum membrane
ATP6AP1,cytosol
ATP6V0B,lysosomal membrane
ATP6V0B,phagocytic vesicle membrane
ATP6V0B,endosome membrane
ATP6V0E1,lysosomal membrane
ATP6V0E1,phagocytic vesicle membrane
ATP6V0E1,endosome membrane
ATP6V1B2,cytosol
ATP6V1G2,cytosol
ATP8B1,plasma membrane
ATP8B2,plasma membrane
ATR,lipid droplet
ATR,chromosome
ATR,endoplasmic reticulum lumen
ATR,endoplasmic reticulum membrane
ATR,mitochondrial intermembrane space
ATR,mitochondrial inner membrane
ATR,photoreceptor outer segment membrane
ATR,smooth endoplasmic reticulum
ATR,photoreceptor disc membrane
ATR,cytosol
ATR,photoreceptor inner segment membrane
ATR,endosome membrane
ATR,plasma membrane
ATR,early endosome
ATR,nuclear envelope
ATR,extracellular region
ATR,nucleoplasm
ATRIP,nucleoplasm
ATRX,nucleoplasm
ATXN3,cytosol
ATXN3,nucleoplasm
ATXN3L,cytosol
ATXN7,nucleoplasm
ATXN7,cytosol
AURKA,nucleoplasm
AURKA,mitochondrial inner membrane
AURKA,cytosol
AURKB,nucleoplasm
AURKB,cytosol
AXIN1,nucleoplasm
AXIN1,cytosol
AXIN2,cytosol
AXIN2,nucleoplasm
AXL,cytosol
AXL,plasma membrane
AXL,extracellular region
AXL,nucleoplasm
AZGP1,extracellular region
AZIN1,cytosol
B2M,Golgi membrane
B2M,early endosome membrane
B2M,specific granule lumen
B2M,recycling endosome membrane
B2M,endoplasmic reticulum lumen
B2M,endoplasmic reticulum membrane
B2M,tertiary granule lumen
B2M,early endosome lumen
B2M,integral component of lumenal side of endoplasmic reticulum membrane
B2M,plasma membrane
B2M,ER to Golgi transport vesicle membrane
B2M,phagocytic vesicle membrane
B2M,extracellular region
B2M,nucleoplasm
B3GALT6,Golgi membrane
B3GALT6,Golgi lumen
B3GLCT,endoplasmic reticulum membrane
B3GLCT,endoplasmic reticulum lumen
B4GALT3,Golgi membrane
BAALC,cytosol
BABAM1,cytosol
BABAM1,nucleoplasm
BABAM2,cytosol
BABAM2,nucleoplasm
BAG4,plasma membrane
BAG4,extracellular region
BAG4,cytosol
BAP1,nucleoplasm
BARD1,nucleoplasm
BAX,endoplasmic reticulum membrane
BAX,mitochondrial intermembrane space
BAX,cytosol
BAX,mitochondrial outer membrane
BAX,plasma membrane
BAX,extracellular region
BAX,nucleoplasm
BAZ2A,nucleoplasm
BBC3,mitochondrial outer membrane
BBC3,cytosol
BBC3,nucleoplasm
BCL10,cytoplasm
BCL10,nucleoplasm
BCL10,plasma membrane
BCL10,endosome membrane
BCL10,cytosol
BCL11A,plasma membrane
BCL11A,cytosol
BCL2,endoplasmic reticulum-Golgi intermediate compartment membrane
BCL2,endoplasmic reticulum membrane
BCL2,mitochondrial matrix
BCL2,cytosol
BCL2,endosome membrane
BCL2,mitochondrial outer membrane
BCL2,plasma membrane
BCL2,extracellular region
BCL2,nucleoplasm
BCL2L1,endoplasmic reticulum-Golgi intermediate compartment membrane
BCL2L1,nucleoplasm
BCL2L1,mitochondrial outer membrane
BCL2L1,plasma membrane
BCL2L1,cytosol
BCL2L11,mitochondrial outer membrane
BCL2L11,plasma membrane
BCL2L11,cytosol
BCL2L11,nucleoplasm
BCL6,nucleoplasm
BCL9,cytosol
BCL9,nucleoplasm
BCL9L,nucleoplasm
BCR,cytosol
BCR,endoplasmic reticulum membrane
BCR,plasma membrane
BCR,viral envelope
BCR,extracellular region
BCR,nucleoplasm
BHLHE41,cytosol
BHLHE41,nucleoplasm
BHMT2,cytosol
BIRC3,plasma membrane
BIRC3,cytosol
BIRC6,plasma membrane
BIRC6,cytosol
BLK,plasma membrane
BLK,cytosol
BLK,extracellular region
BLK,nucleoplasm
BLM,chromosome
BLM,nucleoplasm
BLM,cytosol
BMP7,extracellular region
BMPR1A,plasma membrane
BMPR1A,extracellular region
BMPR2,plasma membrane
BMPR2,extracellular region
BOC,plasma membrane
BOC,ciliary membrane
BOC,nucleoplasm
BOD1,nucleoplasm
BOK,lipid droplet
BOK,endoplasmic reticulum membrane
BOK,plasma membrane
BOK,photoreceptor outer segment membrane
BOK,phagolysosome
BOK,extracellular region
BOK,cytosol
BORA,cytosol
BPIFB1,extracellular region
BRAF,Golgi membrane
BRAF,cytosol
BRAF,endosome membrane
BRAF,plasma membrane
BRAF,extracellular region
BRAF,nucleoplasm
BRCA1,chromosome
BRCA1,cytosol
BRCA1,nucleoplasm
BRCA1,mitochondrial outer membrane
BRCA1,peroxisomal membrane
BRCA1,plasma membrane
BRCA1,nuclear envelope
BRCA1,extracellular region
BRCA2,cytosol
BRCA2,chromosome
BRCA2,nucleoplasm
BRCC3,cytosol
BRCC3,nucleoplasm
BRD4,nucleoplasm
BRD7,nucleoplasm
BRD8,nucleoplasm
BRINP3,cytosol
BRIP1,mitochondrial inner membrane
BRIP1,cytosol
BRIP1,nucleoplasm
BRPF1,nucleoplasm
BRPF3,cytosol
BRPF3,extracellular region
BRPF3,nucleoplasm
BTG1,nucleoplasm
BTG1,cytosol
BTG2,nucleoplasm
BTG2,cytosol
BTK,cytoplasmic side of plasma membrane
BTK,plasma membrane
BTK,extracellular region
BTK,cytosol
BTLA,plasma membrane
BTLA,cytosol
BTN3A2,plasma membrane
BTN3A2,extracellular region
BUB1B,cytosol
BUD23,nucleoplasm
C2CD3,cytosol
C2CD5,plasma membrane
C2CD5,cytosol
C3,Golgi membrane
C3,endoplasmic reticulum lumen
C3,endoplasmic reticulum membrane
C3,secretory granule lumen
C3,external side of plasma membrane
C3,cytosol
C3,azurophil granule lumen
C3,Golgi lumen
C3,plasma membrane
C3,platelet alpha granule lumen
C3,extracellular region
C3,ficolin-1-rich granule lumen
C3,nucleoplasm
C3AR1,plasma membrane
C3AR1,extracellular region
C3AR1,azurophil granule membrane
C3AR1,specific granule membrane
C3AR1,cytosol
C7,nucleoplasm
C7,mitochondrial outer membrane
C7,plasma membrane
C7,external side of plasma membrane
C7,extracellular region
C7,cytosol
C8orf44-SGK3,cytosol
C9orf78,nucleoplasm
CABIN1,nucleoplasm
CABLES1,nucleoplasm
CABLES1,cytosol
CACNA1A,plasma membrane
CACNA1B,plasma membrane
CACNA1C,plasma membrane
CACNA1C,extracellular region
CACNA1C,cytosol
CACNA1D,plasma membrane
CACNA1E,plasma membrane
CACNA1H,plasma membrane
CACNA2D1,extracellular region
CACNA2D3,extracellular region
CACNG6,plasma membrane
CACNG6,endocytic vesicle membrane
CAD,Golgi membrane
CAD,nucleoplasm
CAD,Golgi lumen
CAD,plasma membrane
CAD,cell junction
CAD,extracellular region
CAD,cytosol
CADM2,plasma membrane
CALCB,extracellular region
CALCR,plasma membrane
CALCR,extracellular region
CALD1,plasma membrane
CALD1,cytosol
CALR,endoplasmic reticulum-Golgi intermediate compartment membrane
CALR,endoplasmic reticulum lumen
CALR,endocytic vesicle lumen
CALR,integral component of lumenal side of endoplasmic reticulum membrane
CALR,phagocytic vesicle membrane
CALR,extracellular region
CALR,nucleoplasm
CAMKK2,cytosol
CAMKK2,nucleoplasm
CANT1,tertiary granule lumen
CANT1,ficolin-1-rich granule lumen
CANT1,specific granule lumen
CANT1,extracellular region
CANX,endoplasmic reticulum lumen
CANX,integral component of lumenal side of endoplasmic reticulum membrane
CANX,extracellular region
CAP2,plasma membrane
CAP2,cytosol
CARD11,plasma membrane
CARD11,cytoplasm
CARD11,cytosol
CARM1,nucleoplasm
CARNS1,cytosol
CARS1,cytosol
CASC3,nucleoplasm
CASC3,cytosol
CASP10,mitochondrial outer membrane
CASP10,cytosol
CASP10,nucleoplasm
CASP3,cytosol
CASP3,nucleoplasm
CASP3,plasma membrane
CASP3,mitochondrial outer membrane
CASP8,cytosol
CASP8,mitochondrial outer membrane
CASP8,plasma membrane
CASP8,extracellular region
CASP8,nucleoplasm
CASP9,cytosol
CAST,plasma membrane
CAST,lysosomal membrane
CAST,cytosol
CAST,endoplasmic reticulum lumen
CAST,endoplasmic reticulum membrane
CAST,extracellular region
CAST,nucleoplasm
CBFB,lysosomal lumen
CBFB,endoplasmic reticulum lumen
CBFB,cytosol
CBFB,plasma membrane
CBFB,platelet alpha granule lumen
CBFB,cell junction
CBFB,extracellular region
CBFB,nucleoplasm
CBL,lysosomal lumen
CBL,peptidoglycan-based cell wall
CBL,endosome
CBL,mitochondrial matrix
CBL,clathrin-coated endocytic vesicle membrane
CBL,cytosol
CBL,lysosomal membrane
CBL,endosome membrane
CBL,plasma membrane
CBL,extracellular region
CBLB,lysosomal lumen
CBLB,lysosomal membrane
CBLB,endosome
CBLB,mitochondrial matrix
CBLB,endosome membrane
CBLB,plasma membrane
CBLB,extracellular region
CBLB,cytosol
CBLC,cytosol
CBX6,nucleoplasm
CCAR1,nucleoplasm
CCDC6,plasma membrane
CCDC88A,plasma membrane
CCDC88A,cytosol
CCK,plasma membrane
CCK,extracellular region
CCKBR,plasma membrane
CCL26,nuclear envelope
CCL26,nucleoplasm
CCL26,cytosol
CCNB2,Golgi membrane
CCNB2,cytosol
CCNB2,nucleoplasm
CCNC,nucleoplasm
CCND1,cytosol
CCND1,cytoplasm
CCND1,plasma membrane
CCND1,nucleoplasm
CCND2,plasma membrane
CCND2,nucleoplasm
CCND2,cytosol
CCND3,nucleoplasm
CCND3,cytosol
CCNE1,cytosol
CCNE1,nucleoplasm
CCNL1,nucleoplasm
CCP110,plasma membrane
CCP110,cytosol
CCR4,plasma membrane
CCR4,cytosol
CCR4,extracellular region
CCR4,nucleoplasm
CCR5,plasma membrane
CCR5,extracellular region
CCR5,nucleoplasm
CCR7,plasma membrane
CCR7,extracellular region
CCT6B,cytosol
CD19,plasma membrane
CD19,extracellular region
CD19,cytosol
CD1A,plasma membrane
CD1B,plasma membrane
CD1D,plasma membrane
CD200,plasma membrane
CD209,plasma membrane
CD209,extracellular region
CD209,cytosol
CD22,plasma membrane
CD22,extracellular region
CD22,cytosol
CD274,plasma membrane
CD274,nucleoplasm
CD276,plasma membrane
CD28,plasma membrane
CD28,endoplasmic reticulum membrane
CD28,nucleoplasm
CD28,extracellular region
CD28,cytosol
CD2BP2,nucleoplasm
CD300E,plasma membrane
CD36,lipid droplet
CD36,endocytic vesicle lumen
CD36,endoplasmic reticulum membrane
CD36,mitochondrial matrix
CD36,specific granule membrane
CD36,platelet alpha granule membrane
CD36,mitochondrial inner membrane
CD36,peroxisomal matrix
CD36,cytosol
CD36,phagocytic vesicle
CD36,plasma membrane
CD36,endocytic vesicle membrane
CD36,mitochondrial outer membrane
CD36,peroxisomal membrane
CD36,extracellular region
CD36,nucleoplasm
CD3G,plasma membrane
CD3G,extracellular region
CD3G,clathrin-coated endocytic vesicle membrane
CD58,plasma membrane
CD58,secretory granule membrane
CD58,ficolin-1-rich granule membrane
CD70,plasma membrane
CD74,lysosomal lumen
CD74,ER to Golgi transport vesicle membrane
CD74,extracellular region
CD74,lysosomal membrane
CD74,trans-Golgi network membrane
CD74,endocytic vesicle membrane
CD74,plasma membrane
CD74,Golgi membrane
CD74,integral component of lumenal side of endoplasmic reticulum membrane
CD74,clathrin-coated endocytic vesicle membrane
CD74,transport vesicle membrane
CD79A,plasma membrane
CD79A,extracellular region
CD79A,cytosol
CD79B,plasma membrane
CD79B,extracellular region
CD79B,cytosol
CD83,nucleoplasm
CD83,cytosol
CD86,nucleoplasm
CD86,endoplasmic reticulum membrane
CD86,cytosol
CD86,plasma membrane
CD86,extracellular region
CDC20,nucleoplasm
CDC20,cytosol
CDC23,nucleoplasm
CDC23,cytosol
CDC25A,nucleoplasm
CDC25A,nuclear envelope
CDC25A,cytosol
CDC25A,plasma membrane
CDC25C,nucleoplasm
CDC25C,nuclear envelope
CDC25C,cytosol
CDC27,nucleoplasm
CDC27,cytosol
CDC37,nucleoplasm
CDC37,cytosol
CDC37,platelet dense granule lumen
CDC37,plasma membrane
CDC37,extracellular region
CDC37,endosome membrane
CDC37L1,extracellular region
CDC37L1,platelet dense granule lumen
CDC42,cytosol
CDC42,plasma membrane
CDC42,phagocytic vesicle membrane
CDC42,nucleoplasm
CDC42,endoplasmic reticulum membrane
CDC42,extracellular region
CDC42,endosome membrane
CDC42BPB,plasma membrane
CDC42BPB,cytosol
CDC5L,nucleoplasm
CDC73,nucleoplasm
CDH1,cytosol
CDH1,plasma membrane
CDH1,nucleoplasm
CDH1,peptidoglycan-based cell wall
CDH1,extracellular region
CDH10,plasma membrane
CDH11,plasma membrane
CDH11,extracellular region
CDH11,nucleoplasm
CDH11,cytosol
CDH12,nucleoplasm
CDH12,plasma membrane
CDH13,plasma membrane
CDH17,plasma membrane
CDH18,plasma membrane
CDH19,plasma membrane
CDH19,nucleoplasm
CDH2,plasma membrane
CDH2,extracellular region
CDH2,nucleoplasm
CDH2,endoplasmic reticulum lumen
CDH23,plasma membrane
CDH24,plasma membrane
CDH24,extracellular region
CDH4,plasma membrane
CDH6,plasma membrane
CDH8,plasma membrane
CDH8,extracellular region
CDH9,plasma membrane
CDK11A,cytosol
CDK12,nucleoplasm
CDK13,ficolin-1-rich granule lumen
CDK13,extracellular region
CDK13,nucleoplasm
CDK4,lipid droplet
CDK4,cytoplasm
CDK4,cytosol
CDK4,plasma membrane
CDK4,nucleoplasm
CDK4,nuclear envelope
CDK6,nucleoplasm
CDK6,cytosol
CDK8,nucleoplasm
